[22;0t]0;IPython: OptNet_Modified/classification  + Number of params: 159010
Train Epoch: 0.00 [64/60000 (0%)]	Loss: 3.720171	Error: 95.312500
Train Epoch: 0.00 [128/60000 (0%)]	Loss: 2.882726	Error: 85.937500
Train Epoch: 0.00 [192/60000 (0%)]	Loss: 1.960902	Error: 70.312500
Train Epoch: 0.00 [256/60000 (0%)]	Loss: 1.244034	Error: 39.062500
Train Epoch: 0.00 [320/60000 (0%)]	Loss: 1.021869	Error: 31.250000
Train Epoch: 0.01 [384/60000 (1%)]	Loss: 1.234333	Error: 37.500000
Train Epoch: 0.01 [448/60000 (1%)]	Loss: 0.994498	Error: 32.812500
Train Epoch: 0.01 [512/60000 (1%)]	Loss: 0.806904	Error: 21.875000
Train Epoch: 0.01 [576/60000 (1%)]	Loss: 0.654089	Error: 25.000000
Train Epoch: 0.01 [640/60000 (1%)]	Loss: 0.572687	Error: 20.312500
Train Epoch: 0.01 [704/60000 (1%)]	Loss: 0.743939	Error: 23.437500
Train Epoch: 0.01 [768/60000 (1%)]	Loss: 0.520719	Error: 12.500000
Train Epoch: 0.01 [832/60000 (1%)]	Loss: 0.561713	Error: 23.437500
Train Epoch: 0.01 [896/60000 (1%)]	Loss: 0.591335	Error: 17.187500
Train Epoch: 0.01 [960/60000 (1%)]	Loss: 0.495232	Error: 18.750000
Train Epoch: 0.02 [1024/60000 (2%)]	Loss: 0.649877	Error: 21.875000
Train Epoch: 0.02 [1088/60000 (2%)]	Loss: 0.594688	Error: 15.625000
Train Epoch: 0.02 [1152/60000 (2%)]	Loss: 0.439957	Error: 12.500000
Train Epoch: 0.02 [1216/60000 (2%)]	Loss: 0.414925	Error: 14.062500
Train Epoch: 0.02 [1280/60000 (2%)]	Loss: 0.522360	Error: 15.625000
Train Epoch: 0.02 [1344/60000 (2%)]	Loss: 0.474049	Error: 14.062500
Train Epoch: 0.02 [1408/60000 (2%)]	Loss: 0.514078	Error: 20.312500
Train Epoch: 0.02 [1472/60000 (2%)]	Loss: 0.463452	Error: 15.625000
Train Epoch: 0.02 [1536/60000 (2%)]	Loss: 0.564975	Error: 18.750000
Train Epoch: 0.03 [1600/60000 (3%)]	Loss: 0.422060	Error: 10.937500
Train Epoch: 0.03 [1664/60000 (3%)]	Loss: 0.603831	Error: 23.437500
Train Epoch: 0.03 [1728/60000 (3%)]	Loss: 0.617391	Error: 18.750000
Train Epoch: 0.03 [1792/60000 (3%)]	Loss: 0.308029	Error: 10.937500
Train Epoch: 0.03 [1856/60000 (3%)]	Loss: 0.420290	Error: 18.750000
Train Epoch: 0.03 [1920/60000 (3%)]	Loss: 0.668498	Error: 21.875000
Train Epoch: 0.03 [1984/60000 (3%)]	Loss: 0.468289	Error: 10.937500
Train Epoch: 0.03 [2048/60000 (3%)]	Loss: 0.553658	Error: 17.187500
Train Epoch: 0.03 [2112/60000 (3%)]	Loss: 0.528595	Error: 17.187500
Train Epoch: 0.04 [2176/60000 (4%)]	Loss: 0.202404	Error: 4.687500
Train Epoch: 0.04 [2240/60000 (4%)]	Loss: 0.406643	Error: 10.937500
Train Epoch: 0.04 [2304/60000 (4%)]	Loss: 0.686344	Error: 15.625000
Train Epoch: 0.04 [2368/60000 (4%)]	Loss: 0.395961	Error: 12.500000
Train Epoch: 0.04 [2432/60000 (4%)]	Loss: 0.327277	Error: 15.625000
Train Epoch: 0.04 [2496/60000 (4%)]	Loss: 0.388572	Error: 12.500000
Train Epoch: 0.04 [2560/60000 (4%)]	Loss: 0.545282	Error: 17.187500
Train Epoch: 0.04 [2624/60000 (4%)]	Loss: 0.577268	Error: 9.375000
Train Epoch: 0.04 [2688/60000 (4%)]	Loss: 0.612680	Error: 17.187500
Train Epoch: 0.04 [2752/60000 (4%)]	Loss: 0.420359	Error: 10.937500
Train Epoch: 0.05 [2816/60000 (5%)]	Loss: 0.171204	Error: 7.812500
Train Epoch: 0.05 [2880/60000 (5%)]	Loss: 0.210119	Error: 9.375000
Train Epoch: 0.05 [2944/60000 (5%)]	Loss: 0.191329	Error: 9.375000
Train Epoch: 0.05 [3008/60000 (5%)]	Loss: 0.323299	Error: 9.375000
Train Epoch: 0.05 [3072/60000 (5%)]	Loss: 0.634513	Error: 12.500000
Train Epoch: 0.05 [3136/60000 (5%)]	Loss: 0.266564	Error: 9.375000
Train Epoch: 0.05 [3200/60000 (5%)]	Loss: 0.362376	Error: 12.500000
Train Epoch: 0.05 [3264/60000 (5%)]	Loss: 0.210689	Error: 9.375000
Train Epoch: 0.05 [3328/60000 (5%)]	Loss: 0.241498	Error: 6.250000
Train Epoch: 0.06 [3392/60000 (6%)]	Loss: 0.353484	Error: 7.812500
Train Epoch: 0.06 [3456/60000 (6%)]	Loss: 0.381984	Error: 9.375000
Train Epoch: 0.06 [3520/60000 (6%)]	Loss: 0.580744	Error: 17.187500
Train Epoch: 0.06 [3584/60000 (6%)]	Loss: 0.463221	Error: 12.500000
Train Epoch: 0.06 [3648/60000 (6%)]	Loss: 0.416406	Error: 12.500000
Train Epoch: 0.06 [3712/60000 (6%)]	Loss: 0.362532	Error: 18.750000
Train Epoch: 0.06 [3776/60000 (6%)]	Loss: 0.535110	Error: 17.187500
Train Epoch: 0.06 [3840/60000 (6%)]	Loss: 0.455526	Error: 18.750000
